Year,Name,Institution,URI
1956,Keith Jones,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1956,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1956,Anthony David Bradshaw,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1956,David Jowett,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CONf2d7f0f0-68a2-4927-b769-12e0d823f6bb
1956,Dennis A. Wilkins,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1956,David J. Harberd,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1956,Patricia J. Watson,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON05d66957-8510-4264-8a9d-6dff22df6ac1
1956,James W. Gregor,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON6544887b-9452-4b67-8148-fb4429ca9b54
1957,Keith Jones,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1957,Anthony David Bradshaw,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1957,Frederick J. W. England,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CONb1558d9d-960b-4ba7-8463-a2b81dc68615
1957,Patricia J. Watson,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON05d66957-8510-4264-8a9d-6dff22df6ac1
1957,David J. Harberd,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1957,Dennis A. Wilkins,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1957,James W. Gregor,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON6544887b-9452-4b67-8148-fb4429ca9b54
1959,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1959,Anthony David Bradshaw,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1959,Patricia J. Watson,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON05d66957-8510-4264-8a9d-6dff22df6ac1
1959,Dennis A. Wilkins,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1959,Frederick J. W. England,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CONb1558d9d-960b-4ba7-8463-a2b81dc68615
1959,James W. Gregor,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON6544887b-9452-4b67-8148-fb4429ca9b54
1959,David J. Harberd,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1960,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1960,Edward Leslie Breese,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONada70e6d-5ed6-45e6-b2d6-1928fd1b798b
1960,D. Malcolm Calder,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON2bcc4361-8c6a-4812-9525-22e9c4fc822e
1960,John P. Cooper,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON67eefffe-2852-4212-934c-10035b19d2ae
1960,Keith Jones,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1960,Keith M. Goodway,University of Keele,http://www.digitalhps.org/concepts/CON54d3a391-5bac-48d7-94e4-74d9091684e0
1960,Audrey Plack,University of Keele,http://www.digitalhps.org/concepts/CON277c68f0-822d-46b7-ad72-858c59d64666
1960,Michael John Harvey,University of Durham,http://www.digitalhps.org/concepts/CON7f24af3c-5593-4ab0-8227-0f1abbe1e069
1960,K. Luck,University of Cambridge,http://www.digitalhps.org/concepts/CON5e0e170c-77f4-4fd9-aceb-f6863f19e61e
